ID,condition,start_interval,start_transition,Node,AOI_duration,clicked,pupil_diameter,active_disruption,passive_disruption,number_clicked
034,E,600,613.2869,7B,0.6656000000000404,0,0.009838481969615865,,,
034,E,600,613.3198,4B,0.0337000000000671,0,0.03340430696961594,,,
034,E,600,613.6198,1B,0.2995999999999412,0,0.051639306969615814,,,
034,E,600,613.9195,1A,0.3002999999999929,0,0.06086164030294916,,,
034,E,600,614.3864,4A,0.4335999999999558,0,0.05374126850807738,,,
034,E,600,614.8455,2A,0.0275000000000318,0,0.13834468196961594,,,
034,E,600,616.0866,5B,0.5660000000000309,0,0.23590307167549818,,,
034,E,600,616.1855,5A,0.099999999999909,0,0.2728933069696158,,,
034,E,600,616.2526,2B,0.0662000000000944,0,0.23802455696961589,,,
034,E,600,616.4188,5A,0.1669999999999163,0,0.23644370696961584,,,
034,E,600,616.4526,2B,0.0332000000000789,0,0.1622873069696158,,,
034,E,600,616.4858,5B,0.0331999999999652,0,0.11776980696961581,,,
034,E,600,616.553,9B,0.0326000000000021,0,0.1569698069696157,,,
034,E,600,616.985,3A,0.4325999999999794,0,0.1298274608157697,,,
034,E,600,617.2183,3B,0.200800000000072,0,0.07946922363628257,,,
034,E,600,617.4511,6A,0.1998999999999569,0,0.24047855696961587,,,
034,E,600,617.5184,9A,0.0670999999999821,0,0.20624830696961582,,,
034,E,600,617.9512,7B,0.166300000000092,0,0.3570692069696159,,,
034,E,600,618.052,4B,0.032699999999977,0,0.4121428069696158,,,
034,E,600,618.5509,4A,0.266399999999976,0,0.22817970696961573,,,
034,E,600,618.9175,1B,0.0996000000000094,0,0.2672660569696158,,,
034,E,600,618.9841,4B,0.0331999999999652,0,0.19084430696961596,,,
034,E,600,619.2506,2A,0.0336000000000922,0,0.1678608069696157,,,
034,E,600,619.3175,7B,0.0333000000000538,0,0.0725048069696157,,,
034,E,600,619.3508,8A,0.0335000000000036,0,0.0939358069696159,,,
034,E,600,619.451,5B,0.1003999999999223,0,0.030810473636282493,,,
034,E,600,619.4847,8A,0.0326000000000021,0,0.028078806969615844,,,
034,E,600,619.5173,8B,0.0330999999999903,0,0.030344806969615945,,,
034,E,600,620.217,5B,0.699799999999982,0,-0.018336550173241307,,,
034,E,600,620.6503,5A,0.0337999999999283,0,0.13185380696961602,,,
034,E,600,620.7833,2B,0.1332000000001016,0,0.179587306969616,,,
034,E,600,620.8503,5A,0.0659999999999172,0,0.17727555696961572,,,
034,E,600,621.3168,5B,0.0332000000000789,0,0.057555056969615936,,,
034,E,600,621.5832,8A,0.2667999999999892,0,0.2388838069696158,,,
034,E,600,622.1162,7B,0.4999000000000251,0,0.21553270696961585,,,
034,E,600,625.495,PB,2.0687000000000357,0,-0.5971151423974728,,,
034,E,600,626.1813,4B,0.2238999999999578,0,-0.28151613053038416,,,
034,E,600,626.2634,5A,0.0557000000000016,0,-0.26824669303038406,,,
034,E,600,626.848,2B,0.4995000000000118,0,-0.1599754930303842,,,
034,E,600,626.9476,5A,0.1000999999999976,0,-0.030034359697050778,,,
034,E,600,627.0141,2B,0.0666999999999689,0,0.03689855696961575,,,
034,E,600,627.6136,6A,0.2998999999999796,0,0.008052695858504717,,,
034,E,600,627.9136,9A,0.2997000000000298,0,0.08437447363628252,,,
034,E,600,628.1135,9B,0.1994999999999436,0,-0.012452026363717414,,,
034,E,600,628.3471,8B,0.1998999999999569,0,0.08632822363628245,,,
034,E,600,628.4137,5B,0.0667000000000825,0,0.08684805696961584,,,
034,E,600,628.8132,8B,0.4000999999999521,0,0.1374444319696159,,,
034,E,600,628.8469,5B,0.0334000000000287,0,0.22239980696961603,,,
034,E,600,629.9805,8B,1.1001999999999723,0,0.37789682212113096,,,
